model_id,model,seed,corruption,level,level_index,severity,metric,value,clean_value,degradation_from_clean_pp,source
standard_shufflenet_v2,Standard ShuffleNetV2,123,clean,clean,-1,0,accuracy,0.9673129553,0.9673129553,0,reused_unified_clean
standard_shufflenet_v2,Standard ShuffleNetV2,123,clean,clean,-1,0,macro_f1,0.8064110984,0.8064110984,0,reused_unified_clean
standard_shufflenet_v2,Standard ShuffleNetV2,123,clean,clean,-1,0,balanced_accuracy,0.7862752647,0.7862752647,0,reused_unified_clean
standard_shufflenet_v2,Standard ShuffleNetV2,2026,clean,clean,-1,0,accuracy,0.9677755078,0.9677755078,0,reused_unified_clean
standard_shufflenet_v2,Standard ShuffleNetV2,2026,clean,clean,-1,0,macro_f1,0.804565105,0.804565105,0,reused_unified_clean
standard_shufflenet_v2,Standard ShuffleNetV2,2026,clean,clean,-1,0,balanced_accuracy,0.7879801505,0.7879801505,0,reused_unified_clean
resnet18,ResNet18,42,clean,clean,-1,0,accuracy,0.9786840381,0.9786840381,0,reused_unified_clean
resnet18,ResNet18,42,clean,clean,-1,0,macro_f1,0.8882421734,0.8882421734,0,reused_unified_clean
resnet18,ResNet18,42,clean,clean,-1,0,balanced_accuracy,0.8748348081,0.8748348081,0,reused_unified_clean
resnet18,ResNet18,123,clean,clean,-1,0,accuracy,0.978645492,0.978645492,0,reused_unified_clean
resnet18,ResNet18,123,clean,clean,-1,0,macro_f1,0.8915091587,0.8915091587,0,reused_unified_clean
resnet18,ResNet18,123,clean,clean,-1,0,balanced_accuracy,0.8774332636,0.8774332636,0,reused_unified_clean
resnet18,ResNet18,2026,clean,clean,-1,0,accuracy,0.9783756697,0.9783756697,0,reused_unified_clean
resnet18,ResNet18,2026,clean,clean,-1,0,macro_f1,0.8880141331,0.8880141331,0,reused_unified_clean
resnet18,ResNet18,2026,clean,clean,-1,0,balanced_accuracy,0.8775136953,0.8775136953,0,reused_unified_clean
standard_shufflenet_v2,Standard ShuffleNetV2,42,bin_flip,light,0,0.01,accuracy,0.9671202251,0.9681609683,0.1040743168,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,42,bin_flip,light,0,0.01,macro_f1,0.8057839936,0.8038636153,-0.1920378388,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,42,bin_flip,light,0,0.01,balanced_accuracy,0.7945815581,0.7821177848,-1.246377327,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,123,bin_flip,light,0,0.01,accuracy,0.9658867517,0.9673129553,0.14262036,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,123,bin_flip,light,0,0.01,macro_f1,0.7979083635,0.8064110984,0.8502734853,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,123,bin_flip,light,0,0.01,balanced_accuracy,0.7886688001,0.7862752647,-0.2393535378,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,2026,bin_flip,light,0,0.01,accuracy,0.9668504028,0.9677755078,0.0925105038,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,2026,bin_flip,light,0,0.01,macro_f1,0.8016148809,0.804565105,0.2950224051,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,2026,bin_flip,light,0,0.01,balanced_accuracy,0.7893128356,0.7879801505,-0.1332685012,new_inference
resnet18,ResNet18,42,bin_flip,light,0,0.01,accuracy,0.9757159928,0.9786840381,0.296804533,new_inference
resnet18,ResNet18,42,bin_flip,light,0,0.01,macro_f1,0.8788451966,0.8882421734,0.9396976832,new_inference
resnet18,ResNet18,42,bin_flip,light,0,0.01,balanced_accuracy,0.8747033976,0.8748348081,0.01314105047,new_inference
resnet18,ResNet18,123,bin_flip,light,0,0.01,accuracy,0.9767567359,0.978645492,0.1888756119,new_inference
resnet18,ResNet18,123,bin_flip,light,0,0.01,macro_f1,0.8796491745,0.8915091587,1.185998422,new_inference
resnet18,ResNet18,123,bin_flip,light,0,0.01,balanced_accuracy,0.8745631929,0.8774332636,0.2870070793,new_inference
resnet18,ResNet18,2026,bin_flip,light,0,0.01,accuracy,0.9766025517,0.9783756697,0.1773117989,new_inference
resnet18,ResNet18,2026,bin_flip,light,0,0.01,macro_f1,0.8812781141,0.8880141331,0.6736019027,new_inference
resnet18,ResNet18,2026,bin_flip,light,0,0.01,balanced_accuracy,0.872042051,0.8775136953,0.5471644298,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,42,bin_flip,medium,1,0.05,accuracy,0.9453417107,0.9681609683,2.28192576,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,42,bin_flip,medium,1,0.05,macro_f1,0.7428335236,0.8038636153,6.103009166,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,42,bin_flip,medium,1,0.05,balanced_accuracy,0.7753525588,0.7821177848,0.6765226033,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,123,bin_flip,medium,1,0.05,accuracy,0.936707397,0.9673129553,3.060555834,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,123,bin_flip,medium,1,0.05,macro_f1,0.7426452635,0.8064110984,6.376583491,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,123,bin_flip,medium,1,0.05,balanced_accuracy,0.7785942182,0.7862752647,0.76810465,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,2026,bin_flip,medium,1,0.05,accuracy,0.9480013877,0.9677755078,1.977412019,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,2026,bin_flip,medium,1,0.05,macro_f1,0.7585775953,0.804565105,4.598750969,new_inference
standard_shufflenet_v2,Standard ShuffleNetV2,2026,bin_flip,medium,1,0.05,balanced_accuracy,0.775287883,0.7879801505,1.26922676,new_inference
resnet18,ResNet18,42,bin_flip,medium,1,0.05,accuracy,0.9569826157,0.9786840381,2.170142235,new_inference
